Wall time,Step,Value
1767531506.3073604,1102,7.0616350173950195
1767532565.8677113,2205,1.5118907690048218
1767533626.672625,3308,0.7197591066360474
1767534688.8902626,4411,0.7102929353713989
1767535748.858727,5514,0.6671934127807617
1767536810.2740982,6617,0.8074687123298645
1767537872.6065567,7720,0.5700556039810181
1767538935.136054,8823,0.6176966428756714
1767539996.5408878,9926,0.5224288702011108
1767541057.7560027,11029,0.639540433883667
1767542117.2237196,12132,0.46952110528945923
1767543177.778633,13235,0.4229492247104645
1767544244.2199886,14338,0.481334388256073
1767545304.5503037,15441,0.34879550337791443
1767546367.027392,16544,0.34502482414245605
1767547428.9721344,17647,0.4585823118686676
1767548490.569435,18750,0.3847637474536896
1767549553.6132147,19853,0.33868128061294556
1767550616.9724379,20956,0.3409420847892761
1767551679.9891505,22059,0.4042036533355713
1767552739.9006698,23162,0.33541589975357056
1767553800.568797,24265,0.4032856822013855
1767554861.696418,25368,0.3962119519710541
1767555922.968029,26471,0.46156275272369385
1767556989.878534,27574,0.3621300458908081
1767558052.1420674,28677,0.41421061754226685
1767559112.569176,29780,0.4237576723098755
1767560172.7847714,30883,0.5169585943222046
1767561237.893894,31986,0.335994690656662
1767562298.90437,33089,0.2880462408065796
1767563361.9653413,34192,0.34344595670700073
1767564424.5448327,35295,0.3230520784854889
1767565484.398419,36398,0.328071653842926
1767566545.499281,37501,0.4723645746707916
1767567608.0813134,38604,0.472993940114975
1767568672.0741048,39707,0.43068593740463257
1767569733.0461473,40810,0.34466052055358887
1767570796.0064597,41913,0.34664463996887207
1767571861.6807265,43016,0.3485698699951172
1767572926.0430763,44119,0.3700990080833435
1767573988.8921225,45222,0.3797145187854767
1767575050.6803365,46325,0.35747841000556946
1767576113.6335876,47428,0.3681662082672119
1767577174.5054085,48531,0.49904295802116394
1767578236.6003017,49634,0.3383604884147644
1767579303.1463437,50737,0.3840208947658539
1767580364.4985716,51840,0.4100620448589325
1767581426.190745,52943,0.46607348322868347
1767582488.336745,54046,0.328847736120224
1767583550.0600734,55149,0.35588347911834717
