Wall time,Step,Value
1768556223.1985993,1859,3.064610242843628
1768557872.9276943,3719,0.9737645983695984
1768559525.0928402,5579,0.8288771510124207
1768561175.0565026,7439,0.6101686954498291
1768562823.932656,9299,0.5805078744888306
1768564473.8052824,11159,0.5022062659263611
1768566124.0213642,13019,0.397846519947052
1768567771.7626235,14879,0.5293738842010498
1768569420.3765955,16739,0.4076862931251526
1768571068.6826768,18599,0.45688557624816895
1768572716.9290988,20459,0.4238453507423401
1768574366.0262845,22319,0.47459012269973755
1768576014.1877847,24179,0.3608686029911041
1768577663.1426055,26039,0.4708353579044342
1768579311.743657,27899,0.4576658308506012
1768580960.895002,29759,0.45589667558670044
1768582607.535286,31619,0.4292658865451813
1768584255.9938552,33479,0.5092673897743225
1768585902.7535882,35339,0.49732309579849243
1768587550.5003943,37199,0.5047459006309509
1768589198.4734604,39059,0.27213069796562195
1768590845.33905,40919,0.4382026791572571
1768592494.252258,42779,0.35134926438331604
1768594142.1018486,44639,0.355683833360672
1768595791.2320185,46499,0.42170199751853943
1768597439.7650013,48359,0.45052751898765564
1768599091.8903637,50219,0.4635206460952759
1768600741.1382053,52079,0.4307979345321655
1768602389.8230252,53939,0.49263113737106323
1768604036.9262993,55799,0.49554935097694397
1768605687.5188346,57659,0.4276385009288788
1768607335.7227619,59519,0.4363681972026825
1768608983.978009,61379,0.5317010879516602
1768610633.1671975,63239,0.4313546419143677
1768612280.9952042,65099,0.4629860818386078
1768613927.1700435,66959,0.3217029571533203
1768615577.567837,68819,0.4125223159790039
1768617225.656367,70679,0.42310604453086853
1768618874.2241037,72539,0.4442416727542877
1768620523.6884997,74399,0.38047510385513306
1768622171.983693,76259,0.3768329620361328
1768623821.7276316,78119,0.4832790195941925
1768625470.749122,79979,0.4731941819190979
1768627119.0346844,81839,0.4440319240093231
1768628768.9536486,83699,0.4334016740322113
1768630417.2055562,85559,0.44100332260131836
1768632064.4952402,87419,0.42954128980636597
1768633714.3986573,89279,0.433491587638855
1768635362.9738483,91139,0.42862942814826965
1768637011.3055403,92999,0.44547325372695923
1768638660.7964032,94859,0.5128443241119385
1768640308.7404156,96719,0.4618678689002991
1768641956.9296343,98579,0.42348185181617737
1768643609.1098657,100439,0.5430983901023865
1768645257.1642103,102299,0.43784648180007935
1768646906.2588885,104159,0.4664897620677948
1768648553.565308,106019,0.42443424463272095
1768650201.5407195,107879,0.3919004499912262
1768651850.8637881,109739,0.4789796471595764
1768653499.8567975,111599,0.41997113823890686
1768655146.8232417,113459,0.47914817929267883
1768656795.5437493,115319,0.4671414792537689
1768658443.8834155,117179,0.4652203619480133
1768660091.4358826,119039,0.46695730090141296
1768661740.6870062,120899,0.5236669778823853
1768663389.8174615,122759,0.5126850008964539
1768665038.6438558,124619,0.42840251326560974
1768666686.1292107,126479,0.4443300664424896
1768668333.194683,128339,0.49276071786880493
1768669982.6616552,130199,0.4220259189605713
